"g_id","uid","вид.туризма","регион","название.объекта","источник.данных","POINT_X","POINT_Y","классификация.по.упоминаемости.в.соц.сетях","классификация.по.кол.ву.комментариев.в.соц.сетях","классификация.по.кол.ву.фотографий.рядом.с.точками.притяжения","классификация.по.исходным.данным","общая.классификация","индекс","финальный.уровень.обьекта","финальная.значимость","регион.входа","точка.входа","расстояние.до.ближайшей.точки.входа","попадание.в.зону.2х.часовой.доступности.авто","попадание.в.зону.2х.часовой.доступности.жд","обеспеченность.ТП.мобильной.связью","обеспеченность.ТП.мобильным.интернетом"
"57470","56533","Культурный","Омская область","Могила заместителя председателя сельсовета Виктора Константиновича Леонова, погибшего в годы коллективизации","Основная","75.053514","56.414379","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","190774","0","0","1","1"
"57750","56813","Культурный","Омская область","Лагерь и казармы 44-го Сибирского стрелкового полка","Основная","73.401917","54.953271","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4559","1","1","1","1"
"57851","56914","Культурный","Омская область","Дом жилой офицеров","Основная","73.396491","54.955055","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4225","1","1","1","1"
"57852","56915","Культурный","Омская область","Дом жилой офицеров","Основная","73.396886","54.954052","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4337","1","1","1","1"
"57864","56927","Культурный","Омская область","Дом жилой офицеров","Основная","73.397174","54.953282","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4422","1","1","1","1"
"57952","57015","Культурный","Омская область","Офицерское собрание","Основная","73.400794","54.952589","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4593","1","1","1","1"
"57956","57019","Культурный","Омская область","Дом жилой офицеров","Основная","73.401414","54.952816","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4589","1","1","1","1"
"57976","57039","Культурный","Омская область","Казармы","Основная","73.383115","54.976623","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","1707","1","0","1","1"
"57979","57042","Культурный","Омская область","Памятник на месте последнего боя интернационального отряда Кароя Лигети в июне 1918 г.","Основная","75.381543","56.332546","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","195995","0","0","1","1"
"57993","57056","Культурный","Омская область","Больница","Основная","73.401647","54.952284","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4648","1","1","1","1"
"57999","57062","Культурный","Омская область","Дом жилой офицеров","Основная","73.397829","54.953385","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4429","1","1","1","1"
"58007","57070","Культурный","Омская область","Особняк купчихи О.Г. Поцелуевой","Основная","75.252779","56.376461","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","194672","0","0","1","1"
"58019","57082","Культурный","Омская область","Дом жилой офицеров","Основная","73.402734","54.952977","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4613","1","1","1","1"
"58569","57632","Культурный","Омская область","Обелиск землякам, погибшим в годы Великой Отечественной войны 1941-1945 гг.","Основная","71.164824","57.691896","0","0","0","1","0.4","0.4","Региональные","Региональные","Тюменская область","Тобольск","181487","0","0","1","1"
"59014","58077","Культурный","Омская область","Могила командира партизанского отряда - венгра-интернационалиста К. Балука, погибшего в 1919 г.","Основная","71.182485","57.693556","0","0","0","1","0.4","0.4","Региональные","Региональные","Тюменская область","Тобольск","182419","0","0","1","1"
"59634","58697","Культурный","Омская область","Памятник землякам, погибшим в Великой Отечественной войне 1941-1945 годов","Основная","72.92227","55.241796","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","39995","1","0","1","1"
"59739","58802","Культурный","Омская область","Могила Героя Социалистического труда Болдыревой Любови Петровны","Основная","72.792077","55.195313","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","43346","1","0","1","1"
"59746","58809","Культурный","Омская область","Дом жилой офицеров","Основная","73.39668","54.954548","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4281","1","1","1","1"
"59806","58869","Культурный","Омская область","Школа, где учился Герой Советского Союза Тытарь Владимир ","Основная","73.557792","54.205568","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","88103","1","0","1","1"
"59830","58893","Культурный","Омская область","Могила краеведа, собирателя фольклора Ивана Семеновича Коровкина","Основная","72.693038","55.153714","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","46851","1","1","1","1"
"60086","59149","Культурный","Омская область","Братская могила красногвардейцев, погибших в боях с белогвардейцами у ст. Драгунская в 1919 году","Основная","72.075914","55.349506","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","91591","0","0","1","1"
